标志,ID,人物,位置,内容,跳转,效果,目标,角色列表,NEXT
#,0,系统音,左,“警告！警告！未知用户连接！”,1,,,神秘的声音,NEXT
#,1,神秘的声音,右,“终于......终于连接上了！能听到吗？”,2,,,“我”,NEXT
#,2,“我”,左,“什么情况！你是谁？”,3,,,系统音,NEXT
#,3,神秘的声音,右,“听着！因为他的阻挠，我没有办法维持通讯太久，为了让你能够活下去，你先听我说！”,5,,,,NEXT
#,4,神秘的声音,右,“你被一个疯子科学家挟持了，他给你戴上了他研究的装置，而这个装置会控制你身体和大脑之间的信息交流，还能用电脉冲在你的大脑中模拟出所有感知，比如视觉，听觉，痛觉，让你感觉你还生活在现实世界中，类似于缸中之脑。”,5,,,,NEXT
#,5,神秘的声音,右,“在你的潜意识放松下来之后，他会恶意制造bug，他要利用bug在你的意识里一次又一次的痛苦的折磨你，杀死你，然后一次又一次把你相关记忆清空，再次折磨你，杀死你，直到你最深处的潜意识也崩溃！”,6,血量减@10,主角,,NEXT
#,6,“我”,左,“我凭什么要相信你！”,7,,,,NEXT
#,7,神秘的声音,右,“除了我你还能够相信谁？我相信你能够来到这里你也发现了不对劲！来不及过多解释了，快！我来帮你调用操作权限，最起码能让你在这次袭击中活下去！”,8,,,,NEXT
#,8,神秘的声音,右,“听着，你头顶上方的条是你的受污染程度，被那个奇怪的东西攻击会使你的数据被污染，等到完全污染的时候它就得到了你的控制权限，它会把你重置，让你逃不出这个循环。”,9,,,,NEXT
#,9,神秘的声音,右,“我调用了一部分修改代码的权限，转化成了易于理解的形式，攻击它就能干扰它的代码运行，而且你身上它的代码越多，修改越有效，但是从物理层面上来看是不可视的，需要承载载体，类似于贴图，你比较熟悉的物品有哪些？”,10,,,,NEXT
#,10,“我”,左,“键盘吧......”,11,,,,NEXT
#,11,神秘的声音,右,“已经帮你生成了！还有呢。”,12,,,,NEXT
#,12,“我”,左,“那应该是我的笔记本了。”,13,,,,NEXT
#,13,神秘的声音,右,“好的，另外我在入侵他电脑的时候我顺手把扫了一遍他的硬盘，我发现他还留着一些过往的数据场景片段，足足15624个！我已经将他们绑定到了你的......文件！”,14,,,,NEXT
#,14,“我”,左,“类似于存档？”,15,,,,NEXT
#,15,神秘的声音,右,“对的，能够回到你的不久前......状态！”,16,,,,NEXT
#,16,神秘的声音,右,“见鬼！他......发现了.....一定......活.....!”,17,,,,NEXT
END,17,,,,,,,,
